location_id,pm2_5,pm10,no2,so2,o3,co,aqi
5598.0,15.19,30.36,8.02,1.73,65.07,194.46,2
5599.0,5.44,6.75,11.16,6.23,27.35,198.66,1
5601.0,32.19,62.84,12.3,6.24,73.88,301.42,3
5602.0,30.56,35.42,19.77,11.47,1.36,552.66,3
5603.0,7.61,11.23,3.59,1.19,53.4,149.22,1
5604.0,15.3,21.46,6.11,2.21,66.71,251.1,2
5607.0,1.93,3.13,5.64,1.12,27.19,144.89,1
5608.0,10.25,11.62,4.03,0.91,33.24,323.85,2
5609.0,20.89,23.59,2.28,3.14,80.69,160.73,2
5610.0,14.19,29.8,6.9,1.33,64.57,179.12,2
5611.0,9.6,10.78,6.96,3.2,24.79,222.24,1
5612.0,6.43,14.28,6.42,0.77,54.01,157.08,1
5613.0,14.33,30.1,8.64,1.49,61.21,198.46,2
5614.0,8.85,9.57,1.1,0.42,76.61,218.79,2
5615.0,26.95,31.16,13.91,12.35,12.9,497.76,3
5616.0,14.33,30.1,8.64,1.49,61.21,198.46,2
5617.0,15.19,30.36,8.02,1.73,65.07,194.46,2
5619.0,24.53,26.46,12.11,2.75,8.69,321.46,2
5621.0,16.41,17.69,12.23,4.62,28.91,344.13,2
5622.0,14.19,29.8,6.9,1.33,64.57,179.12,2
5623.0,5.44,6.75,11.16,6.23,27.35,198.66,1
